Name,Department,Salary,Email,Phone
John Doe,IT,75000,john.doeexample.com,9876543210
Jane Smith,HR,68000,jane.smith@example.com,8765432109
Michael Johnson,Finance,82000,michael.johnson@example.com,7654321098
Emily Davis,Marketing,72000,emily.davis@example.com,654329874545454
David Wilson,IT,78000,david.wilson@example.com,5432109876
Sarah Brown,HR,70000,sarah.brown@example.com,4321098765
Paul White,Finance,90000,paul.white@example.com,3210987654
Anna Green,IT,86000,anna.greenexample.com,2109876543
Mark Black,HR,73000,mark.black@example.com,1098765432
Sophia Miller,Marketing,81000,sophia.miller@example.com,9876543211
